"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 23, 2017","13,008.55","12,943.49","13,049.08","12,921.15","71.30M","-0.05%"
"Nov 22, 2017","13,015.04","13,171.36","13,191.96","13,008.97","82.77M","-1.16%"
"Nov 21, 2017","13,167.54","13,042.94","13,209.01","13,026.77","103.69M","0.83%"
"Nov 20, 2017","13,058.66","12,932.81","13,085.17","12,926.13","93.19M","0.50%"
"Nov 17, 2017","12,993.73","13,051.71","13,089.72","12,984.67","104.02M","-0.41%"
"Nov 16, 2017","13,047.22","13,024.39","13,071.94","13,008.02","103.04M","0.55%"
"Nov 15, 2017","12,976.37","12,963.09","12,996.12","12,847.88","136.17M","-0.44%"
"Nov 14, 2017","13,033.48","13,101.09","13,139.27","13,000.15","94.22M","-0.31%"
"Nov 13, 2017","13,074.42","13,150.78","13,163.94","12,960.65","105.06M","-0.40%"
"Nov 10, 2017","13,127.47","13,206.35","13,216.97","13,111.65","118.51M","-0.42%"
"Nov 09, 2017","13,182.56","13,378.96","13,402.05","13,175.22","145.30M","-1.49%"
"Nov 08, 2017","13,382.42","13,404.58","13,419.77","13,345.11","106.42M","0.02%"
"Nov 07, 2017","13,379.27","13,517.98","13,525.56","13,369.85","88.96M","-0.66%"
"Nov 06, 2017","13,468.79","13,459.42","13,481.23","13,441.66","92.40M","-0.07%"
"Nov 03, 2017","13,478.86","13,476.53","13,505.01","13,430.22","90.00M","0.28%"
"Nov 02, 2017","13,440.93","13,448.52","13,460.86","13,405.91","96.88M","-0.18%"
"Nov 01, 2017","13,465.51","13,342.44","13,488.59","13,341.30","128.44M","1.78%"
"Oct 30, 2017","13,229.57","13,227.85","13,255.38","13,214.60","73.52M","0.09%"
"Oct 27, 2017","13,217.54","13,186.55","13,249.03","13,186.55","106.97M","0.64%"
"Oct 26, 2017","13,133.28","12,955.43","13,144.65","12,940.83","113.62M","1.39%"
"Oct 25, 2017","12,953.41","12,998.44","13,049.47","12,931.22","95.36M","-0.46%"
"Oct 24, 2017","13,013.19","12,998.66","13,055.65","12,983.38","97.34M","0.08%"
"Oct 23, 2017","13,003.14","13,014.57","13,069.40","12,973.43","61.44M","0.09%"
"Oct 20, 2017","12,991.28","13,057.78","13,063.57","12,956.42","83.57M","0.01%"
"Oct 19, 2017","12,990.10","13,036.28","13,042.62","12,911.58","82.34M","-0.41%"
"Oct 18, 2017","13,043.03","13,012.80","13,094.76","13,003.92","65.71M","0.37%"
"Oct 17, 2017","12,995.06","12,995.84","13,034.42","12,967.35","70.29M","-0.07%"
"Oct 16, 2017","13,003.70","13,017.18","13,026.45","13,000.38","56.35M","0.09%"
"Oct 13, 2017","12,991.87","12,995.08","13,036.74","12,964.35","70.25M","0.07%"
"Oct 12, 2017","12,982.89","12,977.27","13,002.34","12,945.07","76.55M","0.09%"
"Oct 11, 2017","12,970.68","12,965.28","12,976.32","12,925.24","75.12M","0.17%"
"Oct 10, 2017","12,949.25","12,959.72","12,980.45","12,909.28","67.27M","-0.21%"
"Oct 09, 2017","12,976.40","12,975.86","12,996.64","12,943.55","62.76M","0.16%"
"Oct 06, 2017","12,955.94","12,979.34","12,993.53","12,941.15","75.29M","-0.09%"
"Oct 05, 2017","12,968.05","12,950.18","12,969.40","12,933.56","80.96M","-0.02%"
"Oct 04, 2017","12,970.52","12,955.89","12,976.24","12,893.75","118.79M","0.53%"
