"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 15, 2018","2,237.53","2,254.09","2,261.74","2,235.93","-","-0.71%"
"Jun 14, 2018","2,253.48","2,268.94","2,269.10","2,247.96","-","-0.76%"
"Jun 13, 2018","2,270.73","2,275.69","2,283.73","2,268.36","-","-0.04%"
"Jun 11, 2018","2,271.74","2,283.64","2,285.14","2,260.40","-","-0.43%"
"Jun 09, 2018","2,281.51","2,268.99","2,284.09","2,268.99","-","0.60%"
"Jun 08, 2018","2,267.92","2,313.00","2,316.92","2,267.92","-","-2.08%"
"Jun 07, 2018","2,316.07","2,318.28","2,326.44","2,316.07","-","0.03%"
"Jun 06, 2018","2,315.45","2,319.33","2,322.05","2,302.70","-","-0.12%"
"Jun 05, 2018","2,318.23","2,322.71","2,329.03","2,310.82","-","-0.23%"
"Jun 04, 2018","2,323.64","2,299.65","2,324.20","2,299.65","-","1.23%"
"Jun 01, 2018","2,295.34","2,297.13","2,311.95","2,292.97","-","-0.33%"
"May 31, 2018","2,302.88","2,303.34","2,315.15","2,289.65","-","0.23%"
"May 30, 2018","2,297.60","2,298.52","2,307.82","2,289.21","-","-0.02%"
"May 29, 2018","2,298.00","2,314.11","2,316.59","2,285.41","-","-0.57%"
"May 28, 2018","2,311.28","2,306.23","2,314.48","2,301.82","-","0.20%"
"May 25, 2018","2,306.57","2,297.91","2,316.13","2,296.91","-","0.55%"
"May 24, 2018","2,294.01","2,298.73","2,310.08","2,289.68","-","-0.07%"
"May 23, 2018","2,295.57","2,317.00","2,318.77","2,294.98","-","-1.35%"
"May 22, 2018","2,326.87","2,333.89","2,336.77","2,317.78","-","-0.25%"
"May 21, 2018","2,332.63","2,328.42","2,347.93","2,328.42","-","0.24%"
"May 18, 2018","2,326.94","2,323.75","2,338.94","2,321.93","-","0.15%"
"May 17, 2018","2,323.51","2,342.22","2,346.04","2,323.51","-","-0.64%"
"May 16, 2018","2,338.39","2,336.52","2,350.49","2,328.86","-","0.06%"
"May 15, 2018","2,337.03","2,353.22","2,354.11","2,330.59","-","-0.87%"
"May 14, 2018","2,357.62","2,345.93","2,358.59","2,326.27","-","0.53%"
"May 11, 2018","2,345.26","2,317.60","2,346.98","2,317.53","-","1.40%"
"May 10, 2018","2,312.92","2,315.39","2,322.45","2,303.15","-","0.47%"
"May 08, 2018","2,301.99","2,292.78","2,301.99","2,277.17","-","0.21%"
"May 07, 2018","2,297.12","2,294.10","2,313.73","2,292.63","-","0.33%"
"May 04, 2018","2,289.47","2,278.90","2,294.35","2,278.90","-","0.68%"
"May 03, 2018","2,274.07","2,303.34","2,313.85","2,274.07","-","-1.40%"
"May 02, 2018","2,306.42","2,304.28","2,317.43","2,298.52","-","-0.03%"
"Apr 30, 2018","2,307.02","2,296.11","2,322.38","2,289.33","-","0.42%"
"Apr 28, 2018","2,297.30","2,300.85","2,300.85","2,288.31","-","-0.18%"
"Apr 27, 2018","2,301.49","2,287.95","2,302.54","2,281.49","-","0.68%"
"Apr 26, 2018","2,286.02","2,255.66","2,286.73","2,253.92","-","1.44%"
"Apr 25, 2018","2,253.50","2,245.06","2,253.50","2,229.66","-","-0.01%"
"Apr 24, 2018","2,253.77","2,260.17","2,270.61","2,245.57","-","0.12%"
"Apr 23, 2018","2,250.99","2,232.33","2,250.99","2,212.16","-","0.82%"
"Apr 20, 2018","2,232.66","2,231.08","2,242.72","2,222.81","-","0.09%"
"Apr 19, 2018","2,230.55","2,248.08","2,265.92","2,219.49","-","-0.49%"
"Apr 18, 2018","2,241.49","2,193.73","2,246.60","2,191.67","-","2.30%"
"Apr 17, 2018","2,191.19","2,173.45","2,191.19","2,165.21","-","2.22%"
"Apr 16, 2018","2,143.67","2,156.28","2,179.75","2,141.17","-","-1.45%"
"Apr 13, 2018","2,175.16","2,210.02","2,219.10","2,167.90","-","-1.58%"
"Apr 12, 2018","2,210.05","2,206.94","2,220.83","2,173.60","-","0.82%"
"Apr 11, 2018","2,192.15","2,172.45","2,231.26","2,157.92","-","0.85%"
"Apr 10, 2018","2,173.76","2,090.73","2,199.44","2,083.30","-","3.96%"
"Apr 09, 2018","2,090.88","2,272.40","2,272.40","2,065.32","-","-8.34%"
"Apr 06, 2018","2,281.23","2,286.35","2,293.99","2,274.91","-","-0.65%"
"Apr 05, 2018","2,296.25","2,270.16","2,297.69","2,270.16","-","1.35%"
"Apr 04, 2018","2,265.60","2,264.74","2,273.53","2,248.48","-","0.08%"
"Apr 03, 2018","2,263.85","2,259.80","2,264.07","2,245.83","-","0.32%"
"Apr 02, 2018","2,256.64","2,271.91","2,294.08","2,256.64","-","-0.63%"
"Mar 30, 2018","2,270.98","2,278.94","2,281.54","2,270.98","-","-0.16%"
"Mar 29, 2018","2,274.62","2,251.61","2,274.62","2,251.61","-","1.13%"
"Mar 28, 2018","2,249.23","2,260.18","2,260.18","2,241.07","-","-0.59%"
"Mar 27, 2018","2,262.50","2,248.11","2,271.62","2,243.08","-","0.97%"
"Mar 26, 2018","2,240.85","2,285.15","2,285.15","2,240.85","-","-1.95%"
"Mar 23, 2018","2,285.53","2,272.32","2,288.15","2,259.78","-","-0.01%"
"Mar 22, 2018","2,285.76","2,311.31","2,317.38","2,279.63","-","-1.02%"
"Mar 21, 2018","2,309.36","2,292.74","2,316.08","2,290.18","-","0.79%"
"Mar 20, 2018","2,291.18","2,281.53","2,293.85","2,263.48","-","0.41%"
"Mar 19, 2018","2,281.72","2,299.01","2,302.78","2,279.50","-","-0.56%"
"Mar 16, 2018","2,294.60","2,273.51","2,294.60","2,255.95","-","0.97%"
"Mar 15, 2018","2,272.49","2,275.06","2,284.79","2,262.21","-","-0.12%"
"Mar 14, 2018","2,275.24","2,316.60","2,316.60","2,275.24","-","-1.90%"
"Mar 13, 2018","2,319.38","2,315.24","2,326.06","2,305.25","-","0.06%"
"Mar 12, 2018","2,318.01","2,317.19","2,326.41","2,309.60","-","0.27%"
"Mar 09, 2018","2,311.69","2,290.77","2,311.69","2,286.23","-","0.89%"
"Mar 07, 2018","2,291.23","2,299.38","2,299.38","2,269.90","-","-0.52%"
"Mar 06, 2018","2,303.32","2,312.60","2,325.16","2,302.11","-","-0.27%"
"Mar 05, 2018","2,309.53","2,291.90","2,317.01","2,291.90","-","0.90%"
"Mar 02, 2018","2,288.84","2,295.15","2,301.77","2,263.77","-","-0.39%"
"Mar 01, 2018","2,297.90","2,286.41","2,306.51","2,281.22","-","0.05%"
"Feb 28, 2018","2,296.80","2,338.26","2,338.26","2,296.80","-","-1.93%"
"Feb 27, 2018","2,341.89","2,356.75","2,357.10","2,333.38","-","-0.48%"
"Feb 26, 2018","2,353.16","2,353.89","2,376.96","2,346.73","-","0.70%"
"Feb 22, 2018","2,336.82","2,316.09","2,336.82","2,307.28","-","0.71%"
"Feb 21, 2018","2,320.32","2,268.27","2,320.32","2,265.85","-","2.21%"
"Feb 20, 2018","2,270.12","2,256.01","2,271.37","2,254.92","-","0.67%"
"Feb 19, 2018","2,254.92","2,255.37","2,266.89","2,251.18","-","-0.02%"
"Feb 16, 2018","2,255.27","2,266.42","2,283.65","2,248.30","-","-0.45%"
"Feb 15, 2018","2,265.45","2,267.82","2,280.27","2,265.45","-","0.33%"
"Feb 14, 2018","2,257.95","2,252.95","2,259.06","2,232.96","-","0.33%"
"Feb 13, 2018","2,250.63","2,225.71","2,250.63","2,220.69","-","1.37%"
"Feb 12, 2018","2,220.12","2,208.98","2,229.81","2,206.28","-","1.05%"
"Feb 09, 2018","2,197.12","2,209.67","2,217.89","2,181.96","-","-1.35%"
"Feb 08, 2018","2,227.24","2,248.98","2,259.40","2,227.24","-","-1.22%"
"Feb 07, 2018","2,254.64","2,247.99","2,267.35","2,247.99","-","0.73%"
"Feb 06, 2018","2,238.24","2,233.31","2,258.79","2,222.85","-","-1.70%"
"Feb 05, 2018","2,276.85","2,272.67","2,281.97","2,255.43","-","-0.22%"
"Feb 02, 2018","2,281.84","2,303.06","2,309.60","2,272.84","-","-0.90%"
